Fecha de solicitud,Provincia,Número de ampliaciones,Semana,Año,semana_año,Provincia_id
2019-01-18,ALBACETE,1,3,2019,2019-W03,2
2019-01-18,CASTELLON,10,3,2019,2019-W03,13
2019-01-18,CIUDAD REAL,24,3,2019,2019-W03,14
2019-01-18,CUENCA,1,3,2019,2019-W03,16
2019-01-18,GUADALAJARA,1,3,2019,2019-W03,20
2019-01-18,LLEIDA,7,3,2019,2019-W03,26
2019-01-18,MADRID,17,3,2019,2019-W03,28
2019-01-18,SALAMANCA,4,3,2019,2019-W03,35
2019-01-18,TOLEDO,25,3,2019,2019-W03,41
2019-01-18,VALENCIA,14,3,2019,2019-W03,42
2019-01-22,TOLEDO,1,4,2019,2019-W04,41
2019-01-25,CIUDAD REAL,1,4,2019,2019-W04,14
2019-01-25,VALENCIA,1,4,2019,2019-W04,42
2019-01-29,CASTELLON,1,5,2019,2019-W05,13
2019-01-29,MADRID,1,5,2019,2019-W05,28
2019-01-29,TOLEDO,1,5,2019,2019-W05,41
2019-02-01,ALBACETE,1,5,2019,2019-W05,2
2019-02-01,ALICANTE,1,5,2019,2019-W05,3
2019-02-01,CASTELLON,10,5,2019,2019-W05,13
2019-02-01,CIUDAD REAL,9,5,2019,2019-W05,14
2019-02-01,CUENCA,2,5,2019,2019-W05,16
2019-02-01,LLEIDA,4,5,2019,2019-W05,26
2019-02-01,MADRID,14,5,2019,2019-W05,28
2019-02-01,TOLEDO,8,5,2019,2019-W05,41
2019-02-01,VALENCIA,11,5,2019,2019-W05,42
2019-02-08,ALBACETE,1,6,2019,2019-W06,2
2019-02-08,CASTELLON,2,6,2019,2019-W06,13
2019-02-08,CIUDAD REAL,5,6,2019,2019-W06,14
2019-02-08,LLEIDA,2,6,2019,2019-W06,26
2019-02-08,MADRID,6,6,2019,2019-W06,28
2019-02-08,TOLEDO,4,6,2019,2019-W06,41
2019-02-08,VALENCIA,3,6,2019,2019-W06,42
2019-02-11,ALICANTE,1,7,2019,2019-W07,3
2019-02-12,MADRID,3,7,2019,2019-W07,28
2019-02-15,ALBACETE,1,7,2019,2019-W07,2
2019-02-15,ALICANTE,10,7,2019,2019-W07,3
2019-02-15,BIZKAIA,1,7,2019,2019-W07,9
2019-02-15,CIUDAD REAL,50,7,2019,2019-W07,14
2019-02-15,CUENCA,9,7,2019,2019-W07,16
2019-02-15,GUADALAJARA,13,7,2019,2019-W07,20
2019-02-15,LLEIDA,12,7,2019,2019-W07,26
2019-02-15,MADRID,67,7,2019,2019-W07,28
2019-02-15,NAVARRA,1,7,2019,2019-W07,31
2019-02-15,SALAMANCA,4,7,2019,2019-W07,35
2019-02-15,TOLEDO,79,7,2019,2019-W07,41
2019-02-22,ALBACETE,1,8,2019,2019-W08,2
2019-02-22,CASTELLON,12,8,2019,2019-W08,13
2019-02-22,CIUDAD REAL,17,8,2019,2019-W08,14
2019-02-22,CUENCA,1,8,2019,2019-W08,16
2019-02-22,GUADALAJARA,2,8,2019,2019-W08,20
2019-02-22,MADRID,14,8,2019,2019-W08,28
2019-02-22,SALAMANCA,1,8,2019,2019-W08,35
2019-02-22,TOLEDO,12,8,2019,2019-W08,41
2019-02-22,VALENCIA,6,8,2019,2019-W08,42
2019-02-27,ALICANTE,1,9,2019,2019-W09,3
2019-02-27,CASTELLON,4,9,2019,2019-W09,13
2019-02-27,CIUDAD REAL,3,9,2019,2019-W09,14
2019-02-27,CUENCA,1,9,2019,2019-W09,16
2019-02-27,GUADALAJARA,1,9,2019,2019-W09,20
2019-02-27,MADRID,5,9,2019,2019-W09,28
2019-02-27,SALAMANCA,1,9,2019,2019-W09,35
2019-02-27,TOLEDO,8,9,2019,2019-W09,41
2019-02-27,VALENCIA,2,9,2019,2019-W09,42
2019-03-04,MADRID,1,10,2019,2019-W10,28
2019-03-08,ALBACETE,1,10,2019,2019-W10,2
2019-03-08,CASTELLON,3,10,2019,2019-W10,13
2019-03-08,CIUDAD REAL,2,10,2019,2019-W10,14
2019-03-08,CUENCA,1,10,2019,2019-W10,16
2019-03-08,GUADALAJARA,3,10,2019,2019-W10,20
2019-03-08,LLEIDA,1,10,2019,2019-W10,26
2019-03-08,MADRID,5,10,2019,2019-W10,28
2019-03-08,TOLEDO,2,10,2019,2019-W10,41
