Fecha de solicitud;Provincia;Número de ampliaciones
2019-01-18;ALBACETE;1
2019-01-18;CASTELLON;10
2019-01-18;CIUDAD REAL;24
2019-01-18;CUENCA;1
2019-01-18;GUADALAJARA;1
2019-01-18;LLEIDA;7
2019-01-18;MADRID;17
2019-01-18;SALAMANCA;4
2019-01-18;TOLEDO;25
2019-01-18;VALENCIA;14
2019-01-22;TOLEDO;1
2019-01-25;CIUDAD REAL;1
2019-01-25;VALENCIA;1
2019-01-29;CASTELLON;1
2019-01-29;MADRID;1
2019-01-29;TOLEDO;1
2019-02-01;ALBACETE;1
2019-02-01;ALICANTE;1
2019-02-01;CASTELLON;10
2019-02-01;CIUDAD REAL;9
2019-02-01;CUENCA;2
2019-02-01;LLEIDA;4
2019-02-01;MADRID;14
2019-02-01;TOLEDO;8
2019-02-01;VALENCIA;11
2019-02-08;ALBACETE;1
2019-02-08;CASTELLON;2
2019-02-08;CIUDAD REAL;5
2019-02-08;LLEIDA;2
2019-02-08;MADRID;6
2019-02-08;TOLEDO;4
2019-02-08;VALENCIA;3
2019-02-11;ALICANTE;1
2019-02-12;MADRID;3
2019-02-15;ALBACETE;1
2019-02-15;ALICANTE;10
2019-02-15;BIZKAIA;1
2019-02-15;CASTELLON;95
2019-02-15;CIUDAD REAL;50
2019-02-15;CUENCA;9
2019-02-15;GUADALAJARA;13
2019-02-15;LLEIDA;12
2019-02-15;MADRID;67
2019-02-15;NAVARRA;1
2019-02-15;SALAMANCA;4
2019-02-15;TOLEDO;79
2019-02-15;VALENCIA;71
2019-02-22;ALBACETE;1
2019-02-22;CASTELLON;12
2019-02-22;CIUDAD REAL;17
2019-02-22;CUENCA;1
2019-02-22;GUADALAJARA;2
2019-02-22;MADRID;14
2019-02-22;SALAMANCA;1
2019-02-22;TOLEDO;12
2019-02-22;VALENCIA;6
2019-02-27;ALICANTE;1
2019-02-27;CASTELLON;4
2019-02-27;CIUDAD REAL;3
2019-02-27;CUENCA;1
2019-02-27;GUADALAJARA;1
2019-02-27;MADRID;5
2019-02-27;SALAMANCA;1
2019-02-27;TOLEDO;8
2019-02-27;VALENCIA;2
2019-03-04;MADRID;1
2019-03-08;ALBACETE;1
2019-03-08;CASTELLON;3
2019-03-08;CIUDAD REAL;2
2019-03-08;CUENCA;1
2019-03-08;GUADALAJARA;3
2019-03-08;LLEIDA;1
2019-03-08;MADRID;5
2019-03-08;TOLEDO;2
2019-03-08;VALENCIA;2
2019-03-13;ALBACETE;1
2019-03-13;VALENCIA;1
2019-03-15;ALBACETE;4
2019-03-15;ALICANTE;2
2019-03-15;CASTELLON;9
2019-03-15;CIUDAD REAL;3
2019-03-15;GUADALAJARA;1
2019-03-15;MADRID;14
2019-03-15;SALAMANCA;2
2019-03-15;TOLEDO;6
2019-03-15;VALENCIA;4
2019-03-20;VALENCIA;1
2019-03-21;ALICANTE;2
2019-03-21;CASTELLON;2
2019-03-21;CIUDAD REAL;11
2019-03-21;CUENCA;1
2019-03-21;GUADALAJARA;1
2019-03-21;MADRID;11
2019-03-21;MURCIA;1
2019-03-21;TOLEDO;5
2019-03-21;VALENCIA;3
2019-03-26;CIUDAD REAL;1
2019-03-29;ALBACETE;1
2019-03-29;ALICANTE;1
2019-03-29;CASTELLON;17
2019-03-29;CIUDAD REAL;8
2019-03-29;CUENCA;2
2019-03-29;GUADALAJARA;1
2019-03-29;LLEIDA;1
2019-03-29;MADRID;12
2019-03-29;TOLEDO;10
2019-03-29;VALENCIA;14
2019-04-04;VALENCIA;1
2019-04-05;ALBACETE;1
2019-04-05;ALICANTE;2
2019-04-05;CASTELLON;4
2019-04-05;CIUDAD REAL;4
2019-04-05;GUADALAJARA;2
2019-04-05;MADRID;19
2019-04-05;TOLEDO;23
2019-04-05;VALENCIA;7
2019-04-12;TOLEDO;1
2019-04-17;ALICANTE;1
2019-04-22;ALBACETE;1
2019-04-22;ALICANTE;1
2019-04-22;CASTELLON;7
2019-04-22;CIUDAD REAL;7
2019-04-22;CUENCA;1
2019-04-22;MADRID;16
2019-04-22;MURCIA;1
2019-04-22;TOLEDO;11
2019-04-22;VALENCIA;6
2019-04-23;VALENCIA;1
2019-04-26;ALBACETE;2
2019-04-26;ALICANTE;2
2019-04-26;CASTELLON;6
2019-04-26;CIUDAD REAL;3
2019-04-26;CUENCA;2
2019-04-26;GUADALAJARA;6
2019-04-26;LLEIDA;1
2019-04-26;MADRID;8
2019-04-26;MURCIA;1
2019-04-26;TOLEDO;14
2019-04-26;VALENCIA;6
2019-04-29;CIUDAD REAL;1
2019-05-07;TOLEDO;18
2019-05-10;ALICANTE;3
2019-05-10;CASTELLON;5
2019-05-10;CIUDAD REAL;8
2019-05-10;CUENCA;1
2019-05-10;GUADALAJARA;4
2019-05-10;MADRID;6
2019-05-10;MURCIA;1
2019-05-10;SALAMANCA;2
