Fecha de solicitud;Provincia;Prediccion_Numero_Ampliaciones_RF
2024-07-07;TOLEDO;4
2024-07-07;CIUDAD REAL;2
2024-07-07;MADRID;3
2024-07-07;CUENCA;2
2024-07-07;VALLADOLID;1
2024-07-07;SALAMANCA;2
2024-07-07;ALBACETE;2
2024-07-07;GUADALAJARA;1
2024-07-07;PALENCIA;2
2024-07-07;VALENCIA;2
2024-07-07;CASTELLON;2
2024-07-07;AVILA;2
2024-07-07;ALICANTE;2
2024-07-07;BIZKAIA;2
2024-07-07;GIPUZKOA;2
2024-07-07;ASTURIAS;2
2024-07-07;MURCIA;2
2024-07-07;LEON;2
2024-07-14;TOLEDO;3
2024-07-14;CIUDAD REAL;2
2024-07-14;MADRID;4
2024-07-14;CUENCA;2
2024-07-14;VALLADOLID;1
2024-07-14;SALAMANCA;1
2024-07-14;ALBACETE;1
2024-07-14;GUADALAJARA;1
2024-07-14;PALENCIA;2
2024-07-14;VALENCIA;2
2024-07-14;CASTELLON;2
2024-07-14;AVILA;1
2024-07-14;ALICANTE;2
2024-07-14;BIZKAIA;1
2024-07-14;GIPUZKOA;2
2024-07-14;ASTURIAS;2
2024-07-14;MURCIA;2
2024-07-14;LEON;1
2024-07-21;TOLEDO;4
2024-07-21;CIUDAD REAL;2
2024-07-21;MADRID;4
2024-07-21;CUENCA;2
2024-07-21;VALLADOLID;1
2024-07-21;SALAMANCA;1
2024-07-21;ALBACETE;1
2024-07-21;GUADALAJARA;1
2024-07-21;PALENCIA;2
2024-07-21;VALENCIA;2
2024-07-21;CASTELLON;2
2024-07-21;AVILA;1
2024-07-21;ALICANTE;2
2024-07-21;BIZKAIA;2
2024-07-21;GIPUZKOA;2
2024-07-21;ASTURIAS;2
2024-07-21;MURCIA;2
2024-07-21;LEON;1
2024-07-28;TOLEDO;3
2024-07-28;CIUDAD REAL;2
2024-07-28;MADRID;4
2024-07-28;CUENCA;2
2024-07-28;VALLADOLID;1
2024-07-28;SALAMANCA;1
2024-07-28;ALBACETE;1
2024-07-28;GUADALAJARA;1
2024-07-28;PALENCIA;2
2024-07-28;VALENCIA;2
2024-07-28;CASTELLON;2
2024-07-28;AVILA;1
2024-07-28;ALICANTE;2
2024-07-28;BIZKAIA;1
2024-07-28;GIPUZKOA;2
2024-07-28;ASTURIAS;2
2024-07-28;MURCIA;2
2024-07-28;LEON;1
2024-08-04;TOLEDO;5
2024-08-04;CIUDAD REAL;2
2024-08-04;MADRID;4
2024-08-04;CUENCA;2
2024-08-04;VALLADOLID;1
2024-08-04;SALAMANCA;2
2024-08-04;ALBACETE;1
2024-08-04;GUADALAJARA;1
2024-08-04;PALENCIA;1
2024-08-04;VALENCIA;2
2024-08-04;CASTELLON;2
2024-08-04;AVILA;1
2024-08-04;ALICANTE;2
2024-08-04;BIZKAIA;1
2024-08-04;GIPUZKOA;2
2024-08-04;ASTURIAS;2
2024-08-04;MURCIA;2
2024-08-04;LEON;1
2024-08-11;TOLEDO;4
2024-08-11;CIUDAD REAL;2
2024-08-11;MADRID;4
2024-08-11;CUENCA;2
2024-08-11;VALLADOLID;1
2024-08-11;SALAMANCA;1
2024-08-11;ALBACETE;1
2024-08-11;GUADALAJARA;1
2024-08-11;PALENCIA;1
2024-08-11;VALENCIA;2
2024-08-11;CASTELLON;2
2024-08-11;AVILA;1
2024-08-11;ALICANTE;2
2024-08-11;BIZKAIA;1
2024-08-11;GIPUZKOA;2
2024-08-11;ASTURIAS;2
2024-08-11;MURCIA;2
2024-08-11;LEON;1
2024-08-18;TOLEDO;5
2024-08-18;CIUDAD REAL;2
2024-08-18;MADRID;4
2024-08-18;CUENCA;2
2024-08-18;VALLADOLID;2
2024-08-18;SALAMANCA;1
2024-08-18;ALBACETE;1
2024-08-18;GUADALAJARA;1
2024-08-18;PALENCIA;1
2024-08-18;VALENCIA;2
2024-08-18;CASTELLON;2
2024-08-18;AVILA;1
2024-08-18;ALICANTE;2
2024-08-18;BIZKAIA;1
2024-08-18;GIPUZKOA;2
2024-08-18;ASTURIAS;2
2024-08-18;MURCIA;2
2024-08-18;LEON;1
2024-08-25;TOLEDO;4
2024-08-25;CIUDAD REAL;2
2024-08-25;MADRID;4
2024-08-25;CUENCA;2
2024-08-25;VALLADOLID;1
2024-08-25;SALAMANCA;1
2024-08-25;ALBACETE;1
2024-08-25;GUADALAJARA;1
2024-08-25;PALENCIA;1
2024-08-25;VALENCIA;2
2024-08-25;CASTELLON;2
2024-08-25;AVILA;1
2024-08-25;ALICANTE;2
2024-08-25;BIZKAIA;1
2024-08-25;GIPUZKOA;2
2024-08-25;ASTURIAS;2
2024-08-25;MURCIA;2
2024-08-25;LEON;1
2024-09-01;TOLEDO;5
2024-09-01;CIUDAD REAL;2
2024-09-01;MADRID;4
2024-09-01;CUENCA;2
2024-09-01;VALLADOLID;2
2024-09-01;SALAMANCA;2
2024-09-01;ALBACETE;1
2024-09-01;GUADALAJARA;1
2024-09-01;PALENCIA;2
2024-09-01;VALENCIA;2
2024-09-01;CASTELLON;2
2024-09-01;AVILA;1
2024-09-01;ALICANTE;2
2024-09-01;BIZKAIA;2
2024-09-01;GIPUZKOA;2
2024-09-01;ASTURIAS;2
2024-09-01;MURCIA;2
2024-09-01;LEON;1
2024-09-08;TOLEDO;4
2024-09-08;CIUDAD REAL;2
2024-09-08;MADRID;4
2024-09-08;CUENCA;2
2024-09-08;VALLADOLID;2
2024-09-08;SALAMANCA;1
